Airline,Date_of_Journey,Source,Destination,Dep_Time,Duration,Total_Stops,Additional_Info,Price,Arrival_Time
Air India,2025-08-09,Chennai,Bangalore,00:46,2h 11m,2 stops,In-flight meal not included,2555,02:57
GoAir,2024-12-12,Chennai,Jaipur,05:51,5h 30m,3 stops,No check-in baggage included,9716,11:21
Alliance Air,2024-10-17,Delhi,Chennai,18:29,4h 53m,2 stops,In-flight meal not included,10170,23:22
SpiceJet,2025-03-21,Bangalore,Pune,11:45,5h 31m,1 stop,In-flight meal not included,9361,17:16
Air India,2024-12-01,Jaipur,Bangalore,22:06,1h 1m,non-stop,No Info,8205,23:07
Vistara,2025-05-06,Bangalore,Hyderabad,14:05,3h 5m,3 stops,No Info,13325,17:10
AirAsia,2025-05-16,Pune,Kolkata,02:28,6h 34m,non-stop,No Info,8447,09:02
IndiGo,2025-03-09,Pune,Hyderabad,17:50,5h 33m,1 stop,No Info,8849,23:23
Alliance Air,2025-06-02,Chennai,Kolkata,15:28,8h 32m,1 stop,In-flight meal not included,7323,00:00
Air India,2025-05-11,Jaipur,Chennai,02:41,2h 2m,3 stops,No Info,2382,04:43
Air India,2024-11-25,Bangalore,Mumbai,22:30,1h 52m,non-stop,No check-in baggage included,8921,00:22
SpiceJet,2025-07-17,Hyderabad,Pune,12:32,7h 18m,3 stops,In-flight meal not included,6239,19:50
Alliance Air,2025-07-19,Hyderabad,Jaipur,11:01,2h 24m,1 stop,No check-in baggage included,11786,13:25
Air India,2024-11-08,Kolkata,Chennai,22:42,6h 3m,2 stops,No Info,8291,04:45
IndiGo,2025-06-11,Delhi,Hyderabad,20:36,9h 3m,1 stop,In-flight meal not included,9453,05:39
Air India,2024-11-05,Delhi,Pune,11:19,9h 13m,3 stops,In-flight meal not included,11076,20:32
Air India,2025-05-14,Jaipur,Pune,19:04,1h 45m,3 stops,No Info,13502,20:49
IndiGo,2025-04-09,Mumbai,Bangalore,19:59,5h 16m,3 stops,In-flight meal not included,12395,01:15
AirAsia,2025-03-11,Mumbai,Hyderabad,18:16,3h 7m,2 stops,No Info,10333,21:23
Air India,2025-03-25,Mumbai,Pune,01:03,3h 47m,non-stop,In-flight meal not included,10493,04:50
Air India,2025-01-14,Mumbai,Bangalore,16:06,7h 49m,3 stops,No Info,3967,23:55
GoAir,2025-06-05,Mumbai,Jaipur,06:27,9h 43m,1 stop,No check-in baggage included,3251,16:10
Air India,2025-04-26,Pune,Kolkata,07:48,8h 32m,2 stops,No Info,5389,16:20
Air India,2025-02-15,Kolkata,Pune,00:18,9h 8m,2 stops,In-flight meal not included,12415,09:26
Air India,2025-07-24,Jaipur,Kolkata,14:53,9h 3m,2 stops,No Info,2019,23:56
Air India,2025-07-27,Kolkata,Hyderabad,13:39,4h 46m,non-stop,No check-in baggage included,12420,18:25
Air India,2024-10-16,Pune,Kolkata,06:41,6h 41m,2 stops,No Info,9127,13:22
SpiceJet,2025-02-18,Mumbai,Kolkata,19:46,2h 26m,1 stop,In-flight meal not included,2764,22:12
SpiceJet,2025-08-17,Jaipur,Bangalore,17:49,6h 7m,non-stop,No check-in baggage included,7801,23:56
GoAir,2025-02-27,Kolkata,Chennai,12:48,4h 10m,3 stops,No Info,7884,16:58
GoAir,2025-02-06,Jaipur,Delhi,02:31,3h 40m,3 stops,No check-in baggage included,11199,06:11
GoAir,2025-08-02,Bangalore,Jaipur,00:17,2h 5m,non-stop,No check-in baggage included,10027,02:22
AirAsia,2024-11-08,Delhi,Bangalore,14:02,8h 44m,1 stop,No Info,2997,22:46
Alliance Air,2025-06-05,Pune,Bangalore,09:15,5h 23m,non-stop,No Info,6250,14:38
Air India,2025-03-29,Hyderabad,Jaipur,03:02,4h 19m,1 stop,No Info,5629,07:21
GoAir,2025-05-08,Chennai,Kolkata,11:42,2h 20m,non-stop,No Info,3844,14:02
GoAir,2025-03-02,Delhi,Chennai,05:07,2h 22m,non-stop,No Info,14730,07:29
AirAsia,2025-03-30,Bangalore,Hyderabad,23:27,5h 59m,non-stop,No check-in baggage included,4213,05:26
GoAir,2025-03-25,Mumbai,Jaipur,12:19,4h 58m,non-stop,No check-in baggage included,8925,17:17
GoAir,2024-12-13,Pune,Chennai,20:34,9h 10m,1 stop,No Info,13109,05:44
IndiGo,2024-11-13,Mumbai,Kolkata,13:09,1h 59m,non-stop,No Info,3707,15:08
GoAir,2025-05-14,Kolkata,Jaipur,16:06,6h 48m,1 stop,No Info,10754,22:54
Vistara,2025-03-11,Kolkata,Pune,20:27,4h 46m,non-stop,In-flight meal not included,8802,01:13
Alliance Air,2024-10-20,Bangalore,Pune,19:16,5h 33m,non-stop,No Info,11647,00:49
IndiGo,2025-05-06,Pune,Mumbai,05:49,5h 51m,3 stops,No check-in baggage included,11724,11:40
Alliance Air,2024-12-04,Mumbai,Pune,03:00,7h 58m,1 stop,No Info,14686,10:58
Vistara,2025-05-23,Delhi,Chennai,23:37,9h 24m,non-stop,No Info,11421,09:01
Air India,2025-08-08,Delhi,Bangalore,14:09,7h 50m,3 stops,No Info,3946,21:59
Vistara,2024-11-07,Delhi,Hyderabad,03:52,1h 39m,3 stops,No Info,4962,05:31
SpiceJet,2025-08-29,Chennai,Delhi,04:32,2h 27m,2 stops,No Info,11949,06:59
Air India,2025-05-11,Hyderabad,Pune,22:03,6h 44m,2 stops,No Info,11996,04:47
IndiGo,2025-05-04,Kolkata,Delhi,19:17,2h 27m,non-stop,No check-in baggage included,12086,21:44
Vistara,2024-09-04,Jaipur,Kolkata,16:55,6h 13m,1 stop,No Info,10253,23:08
AirAsia,2025-03-29,Chennai,Mumbai,00:41,7h 14m,non-stop,No check-in baggage included,6688,07:55
Alliance Air,2024-12-17,Pune,Jaipur,21:22,9h 38m,non-stop,In-flight meal not included,11081,07:00
AirAsia,2024-12-17,Delhi,Hyderabad,17:47,5h 27m,1 stop,In-flight meal not included,6587,23:14
AirAsia,2025-06-10,Jaipur,Bangalore,02:05,9h 21m,3 stops,No check-in baggage included,11120,11:26
AirAsia,2025-06-16,Kolkata,Hyderabad,17:32,1h 22m,3 stops,No Info,10479,18:54
GoAir,2025-02-23,Delhi,Mumbai,12:54,8h 13m,3 stops,No Info,13104,21:07
Air India,2024-10-06,Bangalore,Hyderabad,03:12,7h 36m,non-stop,No Info,12145,10:48
Air India,2025-04-18,Jaipur,Mumbai,09:23,5h 13m,2 stops,No Info,10500,14:36
AirAsia,2024-12-22,Delhi,Kolkata,10:07,5h 46m,2 stops,No check-in baggage included,8389,15:53
SpiceJet,2024-12-24,Chennai,Bangalore,05:51,5h 25m,1 stop,No check-in baggage included,12789,11:16
AirAsia,2025-08-01,Chennai,Kolkata,20:56,2h 18m,1 stop,In-flight meal not included,6987,23:14
Vistara,2024-11-19,Jaipur,Mumbai,05:17,2h 9m,non-stop,No check-in baggage included,10987,07:26
AirAsia,2025-08-08,Hyderabad,Bangalore,09:12,1h 18m,2 stops,No check-in baggage included,6451,10:30
IndiGo,2025-01-13,Mumbai,Jaipur,09:34,7h 59m,1 stop,In-flight meal not included,10283,17:33
AirAsia,2025-04-19,Hyderabad,Jaipur,11:27,7h 32m,2 stops,In-flight meal not included,10343,18:59
IndiGo,2024-09-08,Bangalore,Mumbai,21:58,3h 3m,non-stop,In-flight meal not included,9019,01:01
Vistara,2025-07-18,Hyderabad,Chennai,10:26,5h 21m,3 stops,No check-in baggage included,5573,15:47
GoAir,2025-04-18,Mumbai,Bangalore,20:00,8h 50m,non-stop,No check-in baggage included,13791,04:50
SpiceJet,2024-09-16,Jaipur,Kolkata,19:19,7h 45m,1 stop,No check-in baggage included,12263,03:04
Alliance Air,2025-04-07,Pune,Kolkata,16:49,3h 51m,1 stop,No check-in baggage included,3251,20:40
SpiceJet,2025-01-10,Kolkata,Pune,14:34,2h 30m,1 stop,In-flight meal not included,10077,17:04
IndiGo,2025-02-13,Bangalore,Pune,18:33,8h 50m,1 stop,No check-in baggage included,11969,03:23
Alliance Air,2024-12-21,Chennai,Pune,11:52,7h 55m,1 stop,In-flight meal not included,6682,19:47
Vistara,2025-06-06,Bangalore,Jaipur,21:34,4h 12m,2 stops,No Info,9819,01:46
GoAir,2025-01-22,Chennai,Pune,13:04,5h 54m,3 stops,No Info,11780,18:58
GoAir,2025-03-04,Delhi,Pune,16:57,3h 19m,2 stops,No Info,2116,20:16
AirAsia,2025-05-10,Mumbai,Bangalore,12:38,5h 32m,non-stop,No Info,12494,18:10
GoAir,2025-03-29,Jaipur,Kolkata,09:52,6h 32m,1 stop,No check-in baggage included,11882,16:24
GoAir,2025-06-20,Chennai,Mumbai,19:36,8h 46m,3 stops,No Info,8907,04:22
Vistara,2024-11-17,Delhi,Jaipur,12:03,5h 58m,3 stops,No check-in baggage included,8395,18:01
GoAir,2025-02-09,Delhi,Kolkata,13:33,3h 40m,3 stops,No Info,11922,17:13
AirAsia,2025-06-28,Hyderabad,Pune,13:39,9h 20m,3 stops,No Info,7247,22:59
GoAir,2025-08-16,Bangalore,Delhi,12:31,3h 8m,non-stop,No check-in baggage included,8870,15:39
Air India,2024-10-21,Jaipur,Delhi,05:12,6h 15m,non-stop,In-flight meal not included,5172,11:27
Alliance Air,2024-09-08,Bangalore,Mumbai,09:59,1h 21m,non-stop,In-flight meal not included,8428,11:20
AirAsia,2024-10-10,Pune,Jaipur,23:14,1h 4m,3 stops,No check-in baggage included,3861,00:18
SpiceJet,2025-09-01,Mumbai,Hyderabad,02:10,9h 46m,non-stop,In-flight meal not included,2225,11:56
Alliance Air,2025-02-27,Delhi,Mumbai,05:01,2h 6m,non-stop,In-flight meal not included,11505,07:07
SpiceJet,2025-01-09,Kolkata,Delhi,19:46,4h 59m,1 stop,No check-in baggage included,13569,00:45
GoAir,2024-12-03,Kolkata,Chennai,21:02,8h 28m,2 stops,No Info,11496,05:30
GoAir,2025-04-28,Hyderabad,Delhi,00:59,7h 52m,3 stops,No Info,8690,08:51
Air India,2025-02-10,Delhi,Pune,00:22,9h 42m,non-stop,No check-in baggage included,4391,10:04
GoAir,2024-11-04,Chennai,Delhi,08:36,8h 56m,non-stop,In-flight meal not included,13699,17:32
SpiceJet,2025-04-01,Chennai,Mumbai,14:51,2h 56m,3 stops,In-flight meal not included,10539,17:47
Alliance Air,2025-07-04,Kolkata,Bangalore,22:02,9h 54m,1 stop,In-flight meal not included,8120,07:56
Vistara,2025-06-27,Hyderabad,Pune,09:36,6h 37m,1 stop,No Info,11033,16:13
AirAsia,2025-04-18,Pune,Kolkata,23:14,9h 24m,non-stop,No check-in baggage included,4315,08:38
Vistara,2025-02-06,Mumbai,Pune,09:27,7h 6m,1 stop,No Info,8896,16:33
Vistara,2025-08-20,Bangalore,Mumbai,20:53,3h 15m,1 stop,In-flight meal not included,4725,00:08
Alliance Air,2025-07-18,Jaipur,Mumbai,00:15,6h 20m,3 stops,No check-in baggage included,12298,06:35
Air India,2025-07-08,Bangalore,Delhi,02:26,7h 31m,1 stop,No check-in baggage included,14056,09:57
AirAsia,2024-12-15,Bangalore,Chennai,16:07,2h 0m,3 stops,In-flight meal not included,11850,18:07
Air India,2024-11-26,Kolkata,Bangalore,04:30,6h 7m,2 stops,No Info,8031,10:37
Air India,2025-01-24,Mumbai,Chennai,04:24,6h 49m,2 stops,In-flight meal not included,6634,11:13
Vistara,2024-09-20,Mumbai,Kolkata,16:07,2h 6m,non-stop,No check-in baggage included,7105,18:13
Alliance Air,2025-02-02,Mumbai,Delhi,20:01,9h 15m,2 stops,In-flight meal not included,11729,05:16
SpiceJet,2025-05-05,Kolkata,Bangalore,13:16,9h 21m,1 stop,No check-in baggage included,6157,22:37
Alliance Air,2024-09-16,Chennai,Delhi,19:18,8h 11m,2 stops,In-flight meal not included,4394,03:29
AirAsia,2025-03-06,Pune,Jaipur,15:37,4h 14m,non-stop,No check-in baggage included,14810,19:51
AirAsia,2025-08-08,Kolkata,Pune,01:31,4h 35m,1 stop,No check-in baggage included,9506,06:06
AirAsia,2024-12-01,Hyderabad,Kolkata,20:23,6h 59m,2 stops,No Info,12366,03:22
GoAir,2025-06-19,Pune,Delhi,00:28,7h 44m,2 stops,In-flight meal not included,13143,08:12
Alliance Air,2024-10-12,Mumbai,Kolkata,02:52,6h 11m,1 stop,No Info,4437,09:03
IndiGo,2024-10-16,Delhi,Kolkata,09:46,8h 57m,3 stops,No check-in baggage included,5239,18:43
IndiGo,2025-08-16,Jaipur,Pune,08:04,5h 7m,1 stop,No Info,5704,13:11
AirAsia,2024-09-01,Mumbai,Pune,03:41,4h 55m,non-stop,No Info,11215,08:36
Vistara,2025-06-18,Delhi,Hyderabad,04:35,5h 44m,non-stop,No Info,6930,10:19
Alliance Air,2024-09-04,Hyderabad,Kolkata,19:19,1h 34m,3 stops,No Info,5165,20:53
Air India,2025-04-22,Chennai,Hyderabad,09:42,5h 43m,non-stop,No check-in baggage included,7722,15:25
GoAir,2025-03-31,Delhi,Bangalore,02:06,9h 42m,2 stops,No Info,11599,11:48
GoAir,2024-11-06,Jaipur,Kolkata,03:15,6h 36m,2 stops,No Info,11028,09:51
Alliance Air,2024-09-03,Kolkata,Pune,18:10,5h 26m,non-stop,No Info,7688,23:36
AirAsia,2024-10-05,Mumbai,Jaipur,09:13,6h 15m,non-stop,No check-in baggage included,10499,15:28
IndiGo,2025-02-10,Bangalore,Kolkata,13:59,3h 9m,non-stop,In-flight meal not included,13031,17:08
Alliance Air,2025-03-09,Mumbai,Hyderabad,16:04,6h 46m,3 stops,No check-in baggage included,4807,22:50
IndiGo,2025-05-13,Pune,Bangalore,07:33,3h 35m,3 stops,In-flight meal not included,7366,11:08
IndiGo,2025-05-21,Mumbai,Hyderabad,10:54,7h 15m,3 stops,In-flight meal not included,10858,18:09
Air India,2025-01-29,Bangalore,Hyderabad,17:46,9h 50m,non-stop,No Info,14385,03:36
Air India,2024-12-08,Mumbai,Pune,10:34,8h 53m,1 stop,No check-in baggage included,7985,19:27
IndiGo,2024-11-21,Mumbai,Hyderabad,13:22,9h 3m,3 stops,No check-in baggage included,9220,22:25
Vistara,2025-01-27,Chennai,Jaipur,01:46,4h 13m,2 stops,In-flight meal not included,4724,05:59
GoAir,2024-12-04,Kolkata,Mumbai,02:02,1h 28m,non-stop,No Info,13419,03:30
Vistara,2024-10-25,Kolkata,Jaipur,12:53,8h 6m,2 stops,In-flight meal not included,3463,20:59
Air India,2025-04-30,Pune,Hyderabad,22:11,1h 2m,3 stops,No check-in baggage included,10736,23:13
Vistara,2025-07-25,Pune,Bangalore,02:52,4h 46m,2 stops,No Info,14643,07:38
AirAsia,2024-11-15,Delhi,Bangalore,17:15,3h 13m,1 stop,No check-in baggage included,14010,20:28
IndiGo,2025-08-10,Delhi,Mumbai,17:49,3h 9m,3 stops,No Info,9635,20:58
SpiceJet,2025-08-24,Kolkata,Hyderabad,12:29,4h 36m,1 stop,No check-in baggage included,8598,17:05
Alliance Air,2025-01-04,Mumbai,Delhi,00:52,6h 40m,3 stops,No Info,5194,07:32
SpiceJet,2024-11-13,Kolkata,Mumbai,07:53,2h 40m,3 stops,In-flight meal not included,2789,10:33
IndiGo,2025-07-04,Bangalore,Jaipur,04:56,5h 29m,non-stop,No Info,14617,10:25
AirAsia,2025-03-23,Kolkata,Mumbai,22:13,7h 48m,non-stop,In-flight meal not included,3063,06:01
SpiceJet,2024-10-18,Delhi,Kolkata,00:25,1h 11m,2 stops,No Info,7115,01:36
AirAsia,2025-03-29,Delhi,Jaipur,23:06,5h 0m,1 stop,No Info,6032,04:06
SpiceJet,2025-03-31,Kolkata,Delhi,10:23,4h 22m,2 stops,In-flight meal not included,10123,14:45
Alliance Air,2025-04-04,Mumbai,Kolkata,08:33,9h 46m,3 stops,In-flight meal not included,11473,18:19
Alliance Air,2024-11-19,Jaipur,Mumbai,13:02,7h 42m,2 stops,No check-in baggage included,7221,20:44
AirAsia,2025-06-18,Mumbai,Delhi,07:29,5h 24m,non-stop,No Info,10349,12:53
Vistara,2025-02-13,Mumbai,Pune,21:00,4h 10m,1 stop,In-flight meal not included,6497,01:10
IndiGo,2025-02-16,Hyderabad,Bangalore,12:07,6h 49m,non-stop,No Info,6490,18:56
Vistara,2025-04-20,Jaipur,Pune,02:13,7h 31m,2 stops,No check-in baggage included,13919,09:44
AirAsia,2025-07-26,Kolkata,Mumbai,15:40,2h 47m,2 stops,No check-in baggage included,4472,18:27
Vistara,2025-03-16,Pune,Jaipur,14:20,6h 28m,1 stop,In-flight meal not included,3870,20:48
IndiGo,2025-08-19,Bangalore,Jaipur,05:06,6h 57m,non-stop,No Info,14489,12:03
Vistara,2025-06-15,Kolkata,Jaipur,21:48,2h 23m,non-stop,No check-in baggage included,8903,00:11
Alliance Air,2025-02-01,Jaipur,Pune,01:13,7h 16m,2 stops,In-flight meal not included,14267,08:29
Air India,2024-10-15,Delhi,Hyderabad,08:20,1h 56m,non-stop,No Info,8198,10:16
SpiceJet,2024-10-18,Bangalore,Chennai,19:36,5h 35m,3 stops,In-flight meal not included,4941,01:11
IndiGo,2024-12-25,Jaipur,Delhi,04:09,2h 5m,3 stops,No Info,7336,06:14
SpiceJet,2025-07-24,Hyderabad,Bangalore,22:47,5h 38m,2 stops,No Info,12607,04:25
GoAir,2025-02-25,Pune,Bangalore,14:48,9h 29m,3 stops,No Info,4722,00:17
IndiGo,2024-11-04,Mumbai,Chennai,09:59,5h 23m,3 stops,No Info,3833,15:22
Alliance Air,2025-03-23,Chennai,Hyderabad,13:37,8h 20m,3 stops,No check-in baggage included,3332,21:57
SpiceJet,2025-07-05,Mumbai,Pune,12:52,7h 17m,2 stops,No Info,12706,20:09
Vistara,2024-09-12,Jaipur,Mumbai,08:55,1h 31m,non-stop,No check-in baggage included,4710,10:26
SpiceJet,2025-07-04,Mumbai,Chennai,07:56,5h 38m,3 stops,No Info,2914,13:34
AirAsia,2024-09-19,Pune,Delhi,16:08,8h 48m,1 stop,No check-in baggage included,13217,00:56
SpiceJet,2025-06-22,Hyderabad,Mumbai,21:44,8h 26m,1 stop,No check-in baggage included,8178,06:10
Air India,2025-03-17,Pune,Chennai,14:26,8h 58m,non-stop,In-flight meal not included,6837,23:24
GoAir,2025-01-24,Pune,Chennai,09:53,6h 13m,3 stops,No Info,7896,16:06
SpiceJet,2024-10-03,Mumbai,Pune,02:34,8h 53m,1 stop,No Info,7169,11:27
Air India,2025-07-23,Delhi,Jaipur,06:55,4h 11m,non-stop,In-flight meal not included,6755,11:06
IndiGo,2025-04-12,Jaipur,Delhi,04:27,4h 39m,2 stops,In-flight meal not included,8784,09:06
SpiceJet,2025-02-02,Chennai,Bangalore,21:40,4h 51m,2 stops,In-flight meal not included,14435,02:31
GoAir,2024-12-22,Jaipur,Kolkata,06:58,4h 57m,2 stops,No check-in baggage included,12448,11:55
IndiGo,2025-05-03,Pune,Kolkata,21:29,7h 24m,1 stop,In-flight meal not included,6006,04:53
GoAir,2025-08-05,Mumbai,Bangalore,07:56,4h 37m,non-stop,No Info,10063,12:33
GoAir,2024-11-02,Bangalore,Delhi,15:13,5h 18m,non-stop,No Info,12713,20:31
SpiceJet,2024-09-06,Chennai,Mumbai,06:49,4h 17m,non-stop,No check-in baggage included,7838,11:06
Vistara,2025-07-08,Pune,Bangalore,10:41,4h 24m,3 stops,In-flight meal not included,8729,15:05
Alliance Air,2025-04-15,Jaipur,Mumbai,07:34,8h 40m,non-stop,No Info,10174,16:14
AirAsia,2025-07-22,Bangalore,Kolkata,02:18,2h 23m,2 stops,In-flight meal not included,2276,04:41
Air India,2025-08-16,Jaipur,Bangalore,09:26,3h 41m,non-stop,No Info,4149,13:07
SpiceJet,2025-06-11,Delhi,Mumbai,14:44,1h 3m,2 stops,In-flight meal not included,4127,15:47
SpiceJet,2025-05-07,Jaipur,Mumbai,11:15,3h 42m,non-stop,No check-in baggage included,6470,14:57
AirAsia,2025-02-21,Bangalore,Chennai,20:25,3h 20m,non-stop,No Info,13067,23:45
IndiGo,2025-04-24,Chennai,Bangalore,04:20,3h 56m,3 stops,No Info,11131,08:16
GoAir,2025-07-05,Chennai,Hyderabad,05:06,1h 51m,1 stop,In-flight meal not included,12718,06:57
Alliance Air,2025-02-21,Hyderabad,Pune,08:43,7h 31m,2 stops,No Info,6428,16:14
Vistara,2025-04-20,Pune,Chennai,04:36,4h 33m,1 stop,In-flight meal not included,7489,09:09
Vistara,2025-03-22,Pune,Kolkata,16:03,9h 31m,non-stop,No check-in baggage included,3359,01:34
GoAir,2025-03-14,Hyderabad,Pune,04:20,5h 49m,1 stop,No Info,8053,10:09
GoAir,2024-11-26,Delhi,Kolkata,00:50,3h 47m,2 stops,No check-in baggage included,4575,04:37
Vistara,2024-09-13,Chennai,Hyderabad,08:09,9h 12m,2 stops,In-flight meal not included,7599,17:21
GoAir,2025-06-09,Chennai,Mumbai,14:37,8h 23m,3 stops,No Info,14821,23:00
Vistara,2025-06-30,Bangalore,Delhi,09:03,2h 4m,2 stops,In-flight meal not included,6217,11:07
SpiceJet,2025-02-12,Jaipur,Bangalore,21:38,8h 32m,1 stop,In-flight meal not included,2440,06:10
Vistara,2025-04-09,Kolkata,Jaipur,17:41,4h 42m,2 stops,No check-in baggage included,8611,22:23
IndiGo,2025-08-08,Bangalore,Pune,15:08,4h 17m,3 stops,No Info,5567,19:25
Air India,2024-12-12,Kolkata,Bangalore,08:19,1h 51m,2 stops,No Info,11691,10:10
AirAsia,2025-01-13,Jaipur,Pune,11:37,3h 37m,non-stop,No Info,3771,15:14
Alliance Air,2025-02-09,Pune,Kolkata,13:18,6h 59m,1 stop,No Info,8581,20:17
Vistara,2025-07-22,Delhi,Hyderabad,14:26,2h 40m,2 stops,No check-in baggage included,4339,17:06
IndiGo,2025-05-14,Kolkata,Delhi,09:32,7h 37m,2 stops,No check-in baggage included,13200,17:09
SpiceJet,2025-07-10,Hyderabad,Kolkata,07:12,8h 16m,3 stops,In-flight meal not included,10770,15:28
IndiGo,2025-01-10,Jaipur,Hyderabad,03:31,8h 16m,1 stop,No Info,6257,11:47
Air India,2025-01-05,Kolkata,Delhi,05:54,6h 33m,2 stops,In-flight meal not included,4656,12:27
SpiceJet,2025-07-09,Chennai,Pune,03:01,4h 50m,1 stop,In-flight meal not included,7575,07:51
Vistara,2025-07-17,Bangalore,Kolkata,20:21,7h 8m,2 stops,No check-in baggage included,3753,03:29
IndiGo,2024-12-01,Hyderabad,Pune,10:32,5h 37m,non-stop,In-flight meal not included,9398,16:09
IndiGo,2025-04-02,Pune,Delhi,10:30,3h 59m,3 stops,In-flight meal not included,12177,14:29
Air India,2025-07-17,Chennai,Jaipur,02:02,7h 51m,non-stop,In-flight meal not included,2814,09:53
Alliance Air,2024-09-22,Bangalore,Jaipur,08:03,3h 5m,2 stops,No Info,11921,11:08
Vistara,2025-03-11,Hyderabad,Chennai,18:10,3h 12m,non-stop,In-flight meal not included,11424,21:22
IndiGo,2025-06-04,Mumbai,Chennai,11:54,3h 0m,2 stops,No check-in baggage included,3415,14:54
Vistara,2025-07-23,Pune,Delhi,00:20,2h 0m,2 stops,No Info,9726,02:20
IndiGo,2025-01-31,Delhi,Hyderabad,20:51,9h 6m,1 stop,No Info,10804,05:57
IndiGo,2024-10-05,Mumbai,Kolkata,17:24,5h 0m,1 stop,In-flight meal not included,3576,22:24
Vistara,2025-01-13,Pune,Hyderabad,15:48,1h 1m,2 stops,No check-in baggage included,7621,16:49
Alliance Air,2025-01-10,Pune,Mumbai,22:17,5h 34m,1 stop,No check-in baggage included,9573,03:51
SpiceJet,2025-04-06,Mumbai,Hyderabad,16:25,6h 23m,non-stop,In-flight meal not included,14135,22:48
Air India,2024-09-05,Hyderabad,Delhi,05:37,2h 10m,1 stop,No check-in baggage included,13147,07:47
Alliance Air,2024-12-08,Mumbai,Hyderabad,01:18,1h 41m,2 stops,No Info,8362,02:59
Alliance Air,2025-02-09,Delhi,Hyderabad,08:44,9h 51m,3 stops,No check-in baggage included,2040,18:35
SpiceJet,2024-10-16,Kolkata,Mumbai,19:05,5h 54m,2 stops,No check-in baggage included,2100,00:59
Air India,2024-09-21,Hyderabad,Delhi,08:00,6h 14m,1 stop,In-flight meal not included,11460,14:14
IndiGo,2025-07-27,Bangalore,Delhi,04:09,4h 52m,2 stops,In-flight meal not included,7433,09:01
Alliance Air,2024-12-05,Jaipur,Delhi,20:27,3h 0m,2 stops,No check-in baggage included,3853,23:27
Vistara,2025-03-08,Delhi,Pune,17:53,2h 47m,3 stops,No check-in baggage included,12344,20:40
AirAsia,2025-06-20,Kolkata,Hyderabad,03:01,2h 32m,1 stop,In-flight meal not included,8697,05:33
Alliance Air,2025-04-23,Jaipur,Bangalore,18:37,9h 54m,non-stop,No check-in baggage included,6940,04:31
GoAir,2024-11-21,Pune,Chennai,11:18,8h 49m,1 stop,No Info,13895,20:07
SpiceJet,2025-03-10,Mumbai,Bangalore,18:04,1h 59m,3 stops,In-flight meal not included,7758,20:03
GoAir,2024-10-25,Bangalore,Chennai,23:23,1h 42m,non-stop,In-flight meal not included,14342,01:05
SpiceJet,2025-05-06,Jaipur,Chennai,11:13,7h 31m,3 stops,No Info,11113,18:44
GoAir,2024-10-28,Bangalore,Pune,19:52,5h 51m,3 stops,No check-in baggage included,10505,01:43
Alliance Air,2025-04-26,Kolkata,Pune,10:33,6h 8m,2 stops,In-flight meal not included,10146,16:41
AirAsia,2024-09-02,Chennai,Mumbai,20:11,6h 20m,1 stop,In-flight meal not included,6016,02:31
GoAir,2025-07-27,Hyderabad,Kolkata,23:10,3h 42m,non-stop,In-flight meal not included,2298,02:52
Vistara,2025-05-04,Hyderabad,Kolkata,06:37,9h 28m,1 stop,No check-in baggage included,5179,16:05
GoAir,2025-02-16,Pune,Hyderabad,15:26,5h 37m,1 stop,No Info,10160,21:03
AirAsia,2025-08-09,Chennai,Hyderabad,12:18,8h 20m,2 stops,No Info,13649,20:38
Alliance Air,2025-01-14,Delhi,Mumbai,22:31,5h 35m,3 stops,No check-in baggage included,8524,04:06
Air India,2024-12-31,Hyderabad,Jaipur,03:36,8h 43m,non-stop,No check-in baggage included,2497,12:19
Alliance Air,2025-05-06,Hyderabad,Mumbai,02:35,2h 16m,2 stops,No check-in baggage included,9125,04:51
Alliance Air,2025-01-29,Jaipur,Chennai,02:46,6h 49m,1 stop,No check-in baggage included,12517,09:35
AirAsia,2025-04-03,Pune,Chennai,10:32,6h 23m,2 stops,No Info,3579,16:55
AirAsia,2025-08-01,Hyderabad,Kolkata,15:54,5h 41m,1 stop,No Info,10397,21:35
Air India,2025-06-24,Mumbai,Pune,12:47,3h 25m,3 stops,No check-in baggage included,6859,16:12
IndiGo,2025-08-29,Hyderabad,Pune,21:14,7h 33m,3 stops,No check-in baggage included,4786,04:47
SpiceJet,2024-12-26,Jaipur,Pune,02:04,9h 0m,3 stops,No check-in baggage included,5782,11:04
SpiceJet,2025-01-26,Mumbai,Delhi,08:37,3h 23m,2 stops,No Info,12631,12:00
GoAir,2025-01-29,Kolkata,Bangalore,18:58,9h 51m,3 stops,No check-in baggage included,6201,04:49
Air India,2024-09-06,Pune,Chennai,23:03,4h 17m,2 stops,No check-in baggage included,2885,03:20
Air India,2025-05-22,Kolkata,Chennai,23:30,3h 9m,2 stops,No Info,11597,02:39
Vistara,2024-11-25,Jaipur,Hyderabad,14:02,8h 27m,non-stop,In-flight meal not included,4575,22:29
AirAsia,2024-10-28,Mumbai,Kolkata,05:31,6h 1m,1 stop,No Info,5635,11:32
Air India,2024-10-19,Chennai,Mumbai,13:50,7h 40m,3 stops,No Info,2719,21:30
SpiceJet,2025-02-24,Pune,Bangalore,13:28,7h 14m,1 stop,No Info,8243,20:42
SpiceJet,2025-01-24,Chennai,Bangalore,12:20,4h 54m,2 stops,No Info,10996,17:14
