City,Advisory_Date,Advisory_Level,Reason,Affected_Routes,Additional_Info,Validity
Chennai,2025-05-22,Severe,Health advisory,Pune to Kolkata,Monitor local news,1 week
Jaipur,2024-11-06,Severe,Weather,Jaipur to Delhi,Follow local guidelines,Indefinite
Hyderabad,2025-08-29,Severe,Security concerns,Bangalore to Delhi,Follow local guidelines,Indefinite
Bangalore,2024-11-12,Low,Weather,Mumbai to Kolkata,Check with airlines,1 day
Bangalore,2025-03-10,Severe,Health advisory,Pune to Hyderabad,Check with airlines,1 week
Chennai,2025-02-03,Low,Political unrest,Bangalore to Jaipur,Monitor local news,Indefinite
Kolkata,2025-08-26,Moderate,Health advisory,Hyderabad to Jaipur,Follow local guidelines,Indefinite
Chennai,2025-05-16,Severe,Health advisory,Hyderabad to Chennai,No Info,3 days
Pune,2025-08-06,Low,Health advisory,Bangalore to Delhi,No Info,1 week
Delhi,2024-09-08,Severe,Political unrest,Bangalore to Jaipur,Avoid non-essential travel,3 days
Pune,2025-08-06,Low,Weather,Pune to Chennai,Check with airlines,1 day
Kolkata,2025-07-01,High,Political unrest,Jaipur to Pune,Avoid non-essential travel,3 days
Jaipur,2025-05-17,Severe,Political unrest,Jaipur to Bangalore,No Info,Indefinite
Chennai,2025-06-12,High,Infrastructure issues,Delhi to Jaipur,No Info,3 days
Jaipur,2025-02-09,Severe,Security concerns,Jaipur to Bangalore,No Info,3 days
Mumbai,2025-04-13,High,Health advisory,Pune to Bangalore,No Info,1 day
Delhi,2025-01-06,Low,Infrastructure issues,Chennai to Jaipur,Follow local guidelines,1 day
Chennai,2025-03-14,Moderate,Infrastructure issues,Kolkata to Bangalore,Avoid non-essential travel,1 day
Chennai,2025-04-29,Severe,Infrastructure issues,Bangalore to Pune,Follow local guidelines,1 day
Jaipur,2025-01-14,Low,Security concerns,Hyderabad to Kolkata,Monitor local news,1 day
Delhi,2025-04-06,Severe,Security concerns,Bangalore to Hyderabad,Follow local guidelines,3 days
Chennai,2025-03-15,High,Weather,Chennai to Kolkata,Follow local guidelines,1 week
Kolkata,2025-05-16,Moderate,Health advisory,Delhi to Pune,Check with airlines,3 days
Chennai,2024-09-16,Low,Security concerns,Jaipur to Kolkata,No Info,Indefinite
Chennai,2024-11-21,High,Weather,Chennai to Jaipur,Avoid non-essential travel,1 day
Hyderabad,2025-08-04,Severe,Political unrest,Hyderabad to Mumbai,Check with airlines,1 week
Bangalore,2025-03-11,Low,Security concerns,Kolkata to Bangalore,Monitor local news,1 day
Kolkata,2024-12-12,Moderate,Infrastructure issues,Kolkata to Jaipur,Check with airlines,3 days
Chennai,2024-11-23,High,Political unrest,Bangalore to Pune,Check with airlines,Indefinite
Kolkata,2025-08-05,High,Security concerns,Jaipur to Mumbai,Follow local guidelines,3 days
Mumbai,2024-09-18,High,Weather,Chennai to Kolkata,Avoid non-essential travel,3 days
Chennai,2025-04-27,Low,Weather,Hyderabad to Jaipur,Avoid non-essential travel,1 day
Chennai,2025-03-07,Severe,Infrastructure issues,Chennai to Bangalore,Follow local guidelines,1 week
Chennai,2024-12-20,Moderate,Infrastructure issues,Jaipur to Chennai,Monitor local news,Indefinite
Delhi,2025-08-19,Low,Security concerns,Kolkata to Jaipur,Follow local guidelines,3 days
Hyderabad,2025-03-28,Severe,Political unrest,Pune to Chennai,Follow local guidelines,Indefinite
Chennai,2025-01-25,Low,Health advisory,Delhi to Hyderabad,Monitor local news,Indefinite
Mumbai,2025-08-21,Low,Security concerns,Bangalore to Chennai,Check with airlines,1 week
Pune,2025-04-25,High,Health advisory,Chennai to Bangalore,Monitor local news,1 day
Delhi,2025-07-29,Moderate,Political unrest,Delhi to Mumbai,Check with airlines,1 day
Mumbai,2025-09-01,Low,Weather,Delhi to Kolkata,Avoid non-essential travel,1 day
Hyderabad,2025-08-30,Moderate,Security concerns,Chennai to Bangalore,Follow local guidelines,Indefinite
Mumbai,2025-01-31,Moderate,Health advisory,Jaipur to Pune,Monitor local news,1 day
Delhi,2025-02-08,Severe,Infrastructure issues,Chennai to Jaipur,Monitor local news,1 day
Jaipur,2025-08-21,Moderate,Security concerns,Kolkata to Mumbai,Check with airlines,3 days
Pune,2024-11-02,Severe,Political unrest,Kolkata to Hyderabad,Follow local guidelines,1 week
Hyderabad,2024-11-12,Moderate,Health advisory,Delhi to Jaipur,Monitor local news,Indefinite
Mumbai,2025-01-14,Moderate,Infrastructure issues,Delhi to Pune,Follow local guidelines,3 days
Delhi,2025-06-21,Low,Political unrest,Chennai to Bangalore,Follow local guidelines,Indefinite
Jaipur,2024-12-09,Moderate,Infrastructure issues,Hyderabad to Mumbai,Follow local guidelines,1 day
Mumbai,2025-04-04,Low,Security concerns,Kolkata to Pune,Monitor local news,1 week
Chennai,2025-08-10,High,Security concerns,Delhi to Bangalore,Monitor local news,Indefinite
Hyderabad,2025-04-05,Moderate,Political unrest,Mumbai to Bangalore,Monitor local news,1 week
Delhi,2025-01-14,High,Political unrest,Mumbai to Bangalore,No Info,3 days
Hyderabad,2024-12-03,High,Security concerns,Jaipur to Bangalore,Avoid non-essential travel,1 week
Pune,2024-11-01,Severe,Infrastructure issues,Jaipur to Mumbai,Follow local guidelines,1 week
Pune,2025-06-26,Severe,Security concerns,Hyderabad to Jaipur,Avoid non-essential travel,3 days
Kolkata,2025-04-12,Severe,Infrastructure issues,Bangalore to Delhi,No Info,1 day
Delhi,2025-03-14,Low,Security concerns,Kolkata to Hyderabad,Follow local guidelines,Indefinite
Kolkata,2024-09-26,Moderate,Weather,Chennai to Jaipur,Check with airlines,Indefinite
Jaipur,2025-05-03,Severe,Political unrest,Chennai to Pune,Follow local guidelines,Indefinite
Jaipur,2024-09-30,Severe,Infrastructure issues,Mumbai to Delhi,Check with airlines,Indefinite
Hyderabad,2024-11-11,Moderate,Health advisory,Chennai to Mumbai,Check with airlines,Indefinite
Bangalore,2024-10-09,Low,Security concerns,Hyderabad to Jaipur,Monitor local news,1 day
Delhi,2025-03-22,Low,Weather,Delhi to Mumbai,Check with airlines,Indefinite
Jaipur,2025-03-03,Low,Health advisory,Hyderabad to Chennai,Follow local guidelines,3 days
Delhi,2025-06-13,Moderate,Infrastructure issues,Kolkata to Jaipur,Check with airlines,1 week
Hyderabad,2025-08-29,High,Infrastructure issues,Chennai to Mumbai,Monitor local news,1 week
Chennai,2025-04-13,High,Infrastructure issues,Chennai to Kolkata,No Info,1 week
Mumbai,2025-05-16,High,Weather,Pune to Kolkata,Avoid non-essential travel,3 days
Bangalore,2024-11-17,High,Infrastructure issues,Bangalore to Jaipur,No Info,Indefinite
Mumbai,2025-03-09,High,Security concerns,Mumbai to Pune,Follow local guidelines,Indefinite
Chennai,2024-11-04,Moderate,Health advisory,Delhi to Jaipur,Avoid non-essential travel,1 day
Jaipur,2025-01-24,High,Weather,Jaipur to Hyderabad,No Info,3 days
Bangalore,2025-05-30,High,Security concerns,Bangalore to Mumbai,Check with airlines,3 days
Jaipur,2025-01-25,Low,Political unrest,Kolkata to Hyderabad,No Info,3 days
Kolkata,2025-06-03,Low,Infrastructure issues,Pune to Mumbai,No Info,1 week
Kolkata,2025-02-17,Low,Security concerns,Hyderabad to Chennai,Monitor local news,Indefinite
Hyderabad,2024-10-01,High,Infrastructure issues,Jaipur to Hyderabad,Check with airlines,Indefinite
Chennai,2024-09-17,High,Security concerns,Jaipur to Delhi,Follow local guidelines,1 day
Hyderabad,2025-01-27,Moderate,Political unrest,Bangalore to Chennai,Monitor local news,3 days
Delhi,2025-01-31,Severe,Security concerns,Bangalore to Hyderabad,Follow local guidelines,1 day
Hyderabad,2025-05-06,Moderate,Weather,Kolkata to Pune,Follow local guidelines,1 week
Bangalore,2024-12-10,Severe,Health advisory,Hyderabad to Bangalore,Monitor local news,Indefinite
Delhi,2025-04-12,High,Political unrest,Hyderabad to Jaipur,Follow local guidelines,Indefinite
Hyderabad,2025-08-15,Low,Infrastructure issues,Chennai to Hyderabad,Follow local guidelines,Indefinite
Mumbai,2025-06-11,Low,Health advisory,Chennai to Kolkata,Follow local guidelines,Indefinite
Jaipur,2025-01-14,Severe,Weather,Pune to Hyderabad,No Info,1 day
Kolkata,2025-07-30,Moderate,Security concerns,Chennai to Delhi,Follow local guidelines,1 day
Jaipur,2025-02-28,High,Political unrest,Kolkata to Pune,Follow local guidelines,3 days
Hyderabad,2025-06-16,High,Security concerns,Hyderabad to Bangalore,Follow local guidelines,Indefinite
Hyderabad,2025-06-19,High,Infrastructure issues,Pune to Delhi,Follow local guidelines,1 day
Jaipur,2025-06-02,Severe,Security concerns,Delhi to Chennai,Avoid non-essential travel,1 week
Mumbai,2025-05-23,Moderate,Weather,Jaipur to Kolkata,Check with airlines,1 day
Chennai,2025-03-17,High,Health advisory,Pune to Kolkata,Monitor local news,1 day
Bangalore,2025-04-17,Low,Health advisory,Mumbai to Kolkata,Monitor local news,3 days
Hyderabad,2025-04-14,Low,Political unrest,Delhi to Jaipur,Follow local guidelines,1 week
Mumbai,2024-11-20,Moderate,Political unrest,Hyderabad to Jaipur,Follow local guidelines,1 week
Delhi,2025-08-17,Severe,Health advisory,Chennai to Pune,Avoid non-essential travel,1 day
Mumbai,2025-03-09,Moderate,Infrastructure issues,Pune to Bangalore,No Info,Indefinite
Jaipur,2025-06-25,Moderate,Infrastructure issues,Hyderabad to Kolkata,Monitor local news,1 day
Hyderabad,2025-03-09,High,Weather,Hyderabad to Pune,Avoid non-essential travel,3 days
Bangalore,2024-11-29,High,Weather,Delhi to Jaipur,No Info,3 days
Delhi,2024-10-25,Severe,Infrastructure issues,Kolkata to Bangalore,Follow local guidelines,Indefinite
Bangalore,2024-11-08,Moderate,Security concerns,Bangalore to Chennai,Monitor local news,3 days
Hyderabad,2025-07-25,Low,Security concerns,Jaipur to Bangalore,Follow local guidelines,1 day
Hyderabad,2025-06-19,Severe,Health advisory,Pune to Jaipur,Follow local guidelines,Indefinite
Jaipur,2024-11-29,Low,Political unrest,Chennai to Delhi,No Info,3 days
Hyderabad,2024-11-30,High,Health advisory,Kolkata to Pune,No Info,Indefinite
Delhi,2024-10-21,High,Infrastructure issues,Jaipur to Hyderabad,Follow local guidelines,1 day
Chennai,2025-03-29,Low,Security concerns,Jaipur to Hyderabad,Follow local guidelines,1 week
Bangalore,2025-02-18,High,Infrastructure issues,Jaipur to Chennai,Avoid non-essential travel,1 week
Jaipur,2025-03-04,Moderate,Political unrest,Pune to Jaipur,Monitor local news,1 day
Kolkata,2025-04-06,High,Infrastructure issues,Bangalore to Delhi,Follow local guidelines,3 days
Mumbai,2024-12-20,High,Infrastructure issues,Delhi to Hyderabad,Follow local guidelines,1 week
Kolkata,2025-03-21,High,Health advisory,Bangalore to Pune,Avoid non-essential travel,3 days
Delhi,2025-06-07,Low,Weather,Mumbai to Bangalore,Monitor local news,3 days
Chennai,2025-05-22,Low,Security concerns,Jaipur to Delhi,Monitor local news,Indefinite
Bangalore,2024-10-07,Low,Political unrest,Delhi to Mumbai,Avoid non-essential travel,Indefinite
Jaipur,2025-01-26,Low,Security concerns,Mumbai to Bangalore,Check with airlines,1 day
Kolkata,2025-03-07,Moderate,Political unrest,Jaipur to Kolkata,Follow local guidelines,Indefinite
Bangalore,2025-07-21,Severe,Security concerns,Bangalore to Pune,No Info,3 days
Delhi,2025-01-12,Severe,Political unrest,Jaipur to Mumbai,No Info,1 week
Hyderabad,2025-01-31,Moderate,Health advisory,Hyderabad to Chennai,Avoid non-essential travel,Indefinite
Hyderabad,2025-05-24,High,Infrastructure issues,Pune to Kolkata,Check with airlines,3 days
Chennai,2024-12-28,Severe,Weather,Delhi to Chennai,Check with airlines,3 days
Delhi,2025-07-23,Moderate,Health advisory,Delhi to Chennai,Follow local guidelines,Indefinite
Mumbai,2025-05-21,Severe,Infrastructure issues,Delhi to Bangalore,Avoid non-essential travel,Indefinite
Pune,2025-06-28,Severe,Political unrest,Chennai to Kolkata,No Info,1 day
Mumbai,2025-06-17,Severe,Political unrest,Chennai to Bangalore,No Info,1 day
Delhi,2025-04-21,Low,Security concerns,Jaipur to Mumbai,Monitor local news,3 days
Hyderabad,2025-06-29,Low,Political unrest,Bangalore to Jaipur,Follow local guidelines,3 days
Chennai,2025-04-23,Moderate,Health advisory,Jaipur to Bangalore,Monitor local news,1 week
Bangalore,2024-10-21,Moderate,Security concerns,Pune to Jaipur,Check with airlines,3 days
Chennai,2024-11-22,Severe,Health advisory,Delhi to Chennai,No Info,1 day
Delhi,2025-07-06,Moderate,Political unrest,Bangalore to Jaipur,Follow local guidelines,3 days
Kolkata,2024-11-17,Severe,Security concerns,Jaipur to Delhi,Follow local guidelines,3 days
Jaipur,2024-09-07,Moderate,Security concerns,Delhi to Kolkata,Avoid non-essential travel,3 days
Kolkata,2025-08-04,Moderate,Political unrest,Pune to Bangalore,Check with airlines,1 day
Kolkata,2025-05-03,High,Security concerns,Bangalore to Hyderabad,No Info,1 week
Chennai,2025-03-01,Severe,Political unrest,Bangalore to Pune,Follow local guidelines,3 days
Hyderabad,2025-02-12,High,Infrastructure issues,Delhi to Pune,No Info,1 day
Delhi,2024-11-18,High,Political unrest,Chennai to Delhi,Monitor local news,1 day
Mumbai,2025-08-28,Severe,Security concerns,Hyderabad to Delhi,Follow local guidelines,1 day
Jaipur,2024-11-06,Severe,Security concerns,Hyderabad to Kolkata,Check with airlines,1 week
Mumbai,2025-01-03,Low,Health advisory,Bangalore to Chennai,No Info,3 days
Hyderabad,2025-08-12,High,Health advisory,Hyderabad to Pune,Check with airlines,1 week
Bangalore,2025-07-12,Low,Infrastructure issues,Chennai to Hyderabad,Avoid non-essential travel,3 days
Mumbai,2024-09-23,Severe,Political unrest,Bangalore to Delhi,Follow local guidelines,1 week
Mumbai,2025-07-28,High,Weather,Mumbai to Pune,No Info,Indefinite
Mumbai,2025-05-27,High,Health advisory,Kolkata to Pune,No Info,Indefinite
Mumbai,2024-11-09,Severe,Political unrest,Mumbai to Jaipur,Follow local guidelines,1 week
Hyderabad,2025-08-07,Low,Infrastructure issues,Jaipur to Kolkata,Avoid non-essential travel,3 days
Mumbai,2024-12-25,Low,Infrastructure issues,Chennai to Mumbai,Follow local guidelines,Indefinite
Pune,2025-07-04,Moderate,Infrastructure issues,Kolkata to Delhi,No Info,1 week
Mumbai,2025-08-25,Low,Infrastructure issues,Chennai to Mumbai,Avoid non-essential travel,1 week
Jaipur,2025-07-10,Low,Weather,Mumbai to Pune,No Info,Indefinite
Chennai,2025-01-15,Moderate,Health advisory,Jaipur to Hyderabad,Check with airlines,3 days
Hyderabad,2025-05-05,Low,Health advisory,Bangalore to Hyderabad,No Info,1 week
Delhi,2025-03-24,High,Political unrest,Hyderabad to Bangalore,Follow local guidelines,Indefinite
Kolkata,2025-05-06,Low,Health advisory,Delhi to Pune,Follow local guidelines,3 days
Pune,2025-03-24,Low,Political unrest,Delhi to Kolkata,No Info,1 day
Pune,2025-06-17,High,Weather,Mumbai to Delhi,Avoid non-essential travel,1 day
Delhi,2025-06-29,Moderate,Health advisory,Pune to Chennai,Check with airlines,Indefinite
Bangalore,2024-12-15,Low,Political unrest,Mumbai to Bangalore,No Info,Indefinite
Mumbai,2025-04-27,High,Security concerns,Delhi to Mumbai,Avoid non-essential travel,Indefinite
Bangalore,2024-12-17,Low,Security concerns,Pune to Delhi,Avoid non-essential travel,3 days
Chennai,2025-07-27,High,Security concerns,Kolkata to Chennai,Check with airlines,Indefinite
Delhi,2025-06-03,Moderate,Security concerns,Mumbai to Pune,No Info,Indefinite
Chennai,2024-09-10,High,Security concerns,Chennai to Pune,Check with airlines,Indefinite
Kolkata,2025-04-11,High,Health advisory,Kolkata to Pune,Follow local guidelines,1 week
Hyderabad,2024-09-14,Severe,Political unrest,Kolkata to Hyderabad,Monitor local news,1 day
Hyderabad,2025-05-01,Severe,Weather,Chennai to Pune,Check with airlines,Indefinite
Bangalore,2024-09-07,Severe,Infrastructure issues,Delhi to Mumbai,Monitor local news,1 day
Bangalore,2025-03-23,Severe,Political unrest,Mumbai to Hyderabad,Monitor local news,1 week
Delhi,2025-04-07,Severe,Health advisory,Hyderabad to Kolkata,No Info,3 days
Delhi,2024-09-30,Moderate,Weather,Jaipur to Hyderabad,Check with airlines,Indefinite
Pune,2024-09-24,Moderate,Political unrest,Delhi to Hyderabad,Follow local guidelines,1 day
Delhi,2024-09-10,Low,Health advisory,Kolkata to Chennai,Avoid non-essential travel,1 week
Mumbai,2025-07-26,Moderate,Political unrest,Delhi to Chennai,No Info,1 week
Pune,2025-04-03,Moderate,Weather,Jaipur to Mumbai,No Info,Indefinite
Delhi,2025-07-22,High,Weather,Hyderabad to Pune,Follow local guidelines,1 week
Jaipur,2025-03-14,High,Political unrest,Hyderabad to Mumbai,No Info,1 day
Bangalore,2024-11-24,High,Political unrest,Jaipur to Kolkata,Monitor local news,1 day
Chennai,2025-07-29,Low,Weather,Chennai to Mumbai,Follow local guidelines,Indefinite
Delhi,2024-10-13,Low,Weather,Mumbai to Bangalore,Avoid non-essential travel,1 week
Jaipur,2025-06-18,Low,Weather,Delhi to Bangalore,Follow local guidelines,3 days
Chennai,2025-05-26,Low,Infrastructure issues,Hyderabad to Bangalore,Check with airlines,1 week
Hyderabad,2025-04-20,Moderate,Health advisory,Chennai to Hyderabad,Avoid non-essential travel,3 days
Jaipur,2024-12-21,High,Political unrest,Pune to Bangalore,No Info,3 days
Kolkata,2024-11-23,High,Security concerns,Delhi to Bangalore,Check with airlines,1 day
Delhi,2024-10-24,Severe,Infrastructure issues,Jaipur to Kolkata,Avoid non-essential travel,3 days
Jaipur,2025-01-20,Moderate,Infrastructure issues,Kolkata to Bangalore,Avoid non-essential travel,3 days
Bangalore,2024-09-21,Moderate,Security concerns,Jaipur to Chennai,Check with airlines,3 days
Bangalore,2025-03-29,Moderate,Weather,Jaipur to Pune,Monitor local news,1 day
Bangalore,2024-11-18,High,Political unrest,Mumbai to Kolkata,Avoid non-essential travel,1 week
Delhi,2025-07-06,Moderate,Health advisory,Chennai to Mumbai,Check with airlines,1 week
Jaipur,2025-01-21,Low,Weather,Pune to Bangalore,Avoid non-essential travel,1 week
Mumbai,2025-02-13,Low,Health advisory,Chennai to Hyderabad,Monitor local news,1 week
Chennai,2025-04-09,Moderate,Political unrest,Chennai to Bangalore,No Info,3 days
Chennai,2024-11-04,Moderate,Infrastructure issues,Pune to Hyderabad,No Info,1 day
Chennai,2024-10-02,Severe,Health advisory,Jaipur to Mumbai,No Info,1 day
Pune,2024-12-04,Low,Political unrest,Bangalore to Chennai,Monitor local news,1 week
Delhi,2025-06-25,Low,Weather,Delhi to Kolkata,Avoid non-essential travel,1 week
Chennai,2025-04-18,High,Weather,Kolkata to Delhi,Follow local guidelines,3 days
Delhi,2025-08-31,Severe,Political unrest,Pune to Chennai,No Info,Indefinite
Bangalore,2024-11-02,Severe,Security concerns,Kolkata to Hyderabad,Check with airlines,1 week
Kolkata,2024-10-10,Low,Health advisory,Pune to Bangalore,Monitor local news,Indefinite
Pune,2024-10-18,Severe,Political unrest,Kolkata to Jaipur,Monitor local news,Indefinite
Mumbai,2024-09-30,High,Health advisory,Bangalore to Mumbai,No Info,1 day
Kolkata,2025-06-05,Moderate,Weather,Chennai to Mumbai,Check with airlines,Indefinite
Jaipur,2025-02-03,Moderate,Infrastructure issues,Delhi to Jaipur,Follow local guidelines,1 week
Hyderabad,2024-10-15,High,Infrastructure issues,Hyderabad to Pune,Monitor local news,Indefinite
Kolkata,2024-09-27,Low,Political unrest,Delhi to Mumbai,No Info,Indefinite
Pune,2025-06-01,Severe,Security concerns,Bangalore to Delhi,No Info,1 day
Pune,2025-05-02,Low,Security concerns,Hyderabad to Mumbai,Follow local guidelines,Indefinite
Chennai,2025-05-25,Low,Political unrest,Jaipur to Bangalore,No Info,Indefinite
Delhi,2024-09-13,Moderate,Health advisory,Jaipur to Mumbai,Follow local guidelines,1 day
Jaipur,2025-08-31,Low,Infrastructure issues,Mumbai to Delhi,No Info,1 day
Chennai,2024-12-22,High,Weather,Kolkata to Pune,Check with airlines,Indefinite
Mumbai,2024-12-28,High,Security concerns,Pune to Delhi,Monitor local news,1 week
Jaipur,2024-10-02,Moderate,Security concerns,Pune to Delhi,Check with airlines,3 days
Mumbai,2025-02-10,High,Infrastructure issues,Pune to Chennai,Monitor local news,1 week
Pune,2025-08-13,Low,Infrastructure issues,Mumbai to Delhi,Avoid non-essential travel,3 days
Mumbai,2025-08-16,High,Health advisory,Pune to Mumbai,Check with airlines,1 day
Pune,2025-06-17,Severe,Infrastructure issues,Mumbai to Hyderabad,No Info,Indefinite
Pune,2025-09-01,Moderate,Infrastructure issues,Chennai to Hyderabad,Follow local guidelines,1 day
Delhi,2025-05-29,High,Security concerns,Hyderabad to Chennai,No Info,Indefinite
Hyderabad,2025-02-27,High,Weather,Mumbai to Jaipur,Avoid non-essential travel,Indefinite
Jaipur,2025-05-01,Severe,Infrastructure issues,Pune to Chennai,Monitor local news,1 day
Pune,2025-03-25,Moderate,Health advisory,Delhi to Jaipur,Follow local guidelines,1 day
Bangalore,2025-03-14,Severe,Weather,Pune to Delhi,Avoid non-essential travel,1 week
Bangalore,2024-12-08,Severe,Infrastructure issues,Bangalore to Chennai,Check with airlines,Indefinite
Chennai,2025-04-14,High,Infrastructure issues,Mumbai to Hyderabad,Monitor local news,Indefinite
Kolkata,2025-03-11,Moderate,Weather,Mumbai to Delhi,Avoid non-essential travel,1 week
Kolkata,2024-12-08,Low,Health advisory,Hyderabad to Chennai,Check with airlines,1 day
Hyderabad,2024-09-26,Moderate,Security concerns,Kolkata to Hyderabad,Avoid non-essential travel,Indefinite
Delhi,2025-07-28,Severe,Weather,Delhi to Mumbai,Check with airlines,Indefinite
Kolkata,2025-07-14,Severe,Weather,Hyderabad to Mumbai,No Info,3 days
Jaipur,2024-11-29,High,Weather,Pune to Kolkata,No Info,3 days
Chennai,2025-07-19,High,Health advisory,Chennai to Pune,Follow local guidelines,1 day
Delhi,2024-09-07,Severe,Health advisory,Delhi to Chennai,Follow local guidelines,1 week
Kolkata,2025-07-10,Low,Weather,Chennai to Hyderabad,Check with airlines,Indefinite
Kolkata,2024-10-30,High,Political unrest,Hyderabad to Bangalore,No Info,1 week
Pune,2025-08-20,Low,Weather,Chennai to Delhi,Check with airlines,3 days
Jaipur,2025-05-21,High,Political unrest,Mumbai to Kolkata,Monitor local news,1 day
Jaipur,2024-12-11,Severe,Infrastructure issues,Bangalore to Pune,Follow local guidelines,1 week
Delhi,2025-03-08,Severe,Health advisory,Pune to Jaipur,Monitor local news,1 day
Chennai,2025-06-27,Severe,Infrastructure issues,Hyderabad to Bangalore,Check with airlines,Indefinite
Jaipur,2025-05-02,Severe,Health advisory,Hyderabad to Delhi,Follow local guidelines,1 day
Jaipur,2025-03-19,High,Health advisory,Mumbai to Delhi,Follow local guidelines,1 day
Chennai,2025-02-25,Moderate,Infrastructure issues,Delhi to Pune,Follow local guidelines,1 day
Delhi,2025-02-22,High,Weather,Pune to Chennai,No Info,1 week
Pune,2025-01-13,High,Weather,Bangalore to Pune,No Info,3 days
Mumbai,2025-06-23,Low,Infrastructure issues,Bangalore to Jaipur,Avoid non-essential travel,1 week
Bangalore,2025-04-28,Low,Political unrest,Bangalore to Jaipur,Follow local guidelines,3 days
Hyderabad,2025-03-30,Low,Security concerns,Bangalore to Chennai,Follow local guidelines,1 day
Chennai,2025-05-06,Severe,Security concerns,Kolkata to Delhi,Monitor local news,1 week
Chennai,2025-07-23,Moderate,Political unrest,Delhi to Jaipur,Follow local guidelines,1 week
Pune,2025-01-13,Moderate,Health advisory,Hyderabad to Jaipur,Monitor local news,1 week
Jaipur,2025-02-23,Low,Health advisory,Jaipur to Mumbai,Follow local guidelines,1 week
Chennai,2025-07-30,Moderate,Health advisory,Hyderabad to Bangalore,Follow local guidelines,1 day
Jaipur,2025-03-09,High,Infrastructure issues,Pune to Delhi,Avoid non-essential travel,Indefinite
Jaipur,2024-11-14,Moderate,Political unrest,Bangalore to Jaipur,Avoid non-essential travel,3 days
Chennai,2025-03-24,Moderate,Infrastructure issues,Pune to Chennai,Monitor local news,1 day
Hyderabad,2025-03-09,Low,Security concerns,Jaipur to Bangalore,Check with airlines,3 days
Hyderabad,2025-08-17,High,Political unrest,Kolkata to Pune,Check with airlines,3 days
Mumbai,2025-08-20,Moderate,Infrastructure issues,Chennai to Bangalore,Check with airlines,Indefinite
Jaipur,2024-09-16,High,Security concerns,Delhi to Hyderabad,No Info,Indefinite
Delhi,2024-12-01,Severe,Political unrest,Hyderabad to Jaipur,Avoid non-essential travel,1 week
Kolkata,2024-11-28,High,Infrastructure issues,Mumbai to Jaipur,Monitor local news,1 week
Mumbai,2025-08-16,Low,Security concerns,Kolkata to Bangalore,Avoid non-essential travel,3 days
Hyderabad,2025-04-22,Moderate,Health advisory,Mumbai to Bangalore,No Info,1 week
Chennai,2025-07-27,Severe,Security concerns,Pune to Mumbai,Follow local guidelines,Indefinite
Delhi,2025-08-21,Moderate,Security concerns,Hyderabad to Kolkata,Check with airlines,3 days
Delhi,2025-03-22,High,Weather,Chennai to Pune,Avoid non-essential travel,1 week
Pune,2025-07-01,High,Infrastructure issues,Bangalore to Mumbai,No Info,1 week
Jaipur,2025-05-28,Moderate,Weather,Bangalore to Pune,Follow local guidelines,1 day
Mumbai,2025-01-22,Low,Health advisory,Mumbai to Bangalore,Avoid non-essential travel,1 day
Hyderabad,2024-11-09,Moderate,Health advisory,Bangalore to Hyderabad,Monitor local news,Indefinite
Jaipur,2025-07-24,Moderate,Infrastructure issues,Hyderabad to Mumbai,Check with airlines,Indefinite
Kolkata,2025-02-13,Severe,Political unrest,Kolkata to Bangalore,Monitor local news,Indefinite
Kolkata,2025-01-10,Moderate,Infrastructure issues,Hyderabad to Kolkata,Avoid non-essential travel,Indefinite
Bangalore,2024-11-20,High,Infrastructure issues,Hyderabad to Bangalore,Follow local guidelines,1 day
Bangalore,2025-08-24,Moderate,Security concerns,Chennai to Pune,Avoid non-essential travel,Indefinite
Jaipur,2025-08-30,High,Security concerns,Chennai to Pune,Avoid non-essential travel,3 days
Mumbai,2025-01-15,Low,Health advisory,Bangalore to Kolkata,Follow local guidelines,1 day
Mumbai,2024-12-30,Moderate,Weather,Bangalore to Chennai,Monitor local news,Indefinite
Jaipur,2025-08-24,High,Infrastructure issues,Chennai to Hyderabad,Monitor local news,1 week
Bangalore,2024-12-30,Moderate,Infrastructure issues,Chennai to Kolkata,No Info,1 week
Bangalore,2024-09-10,Severe,Weather,Delhi to Chennai,Follow local guidelines,3 days
Hyderabad,2025-07-18,Severe,Security concerns,Pune to Kolkata,Check with airlines,1 week
Hyderabad,2025-06-25,Low,Security concerns,Kolkata to Jaipur,No Info,1 week
Jaipur,2025-04-23,Moderate,Political unrest,Bangalore to Kolkata,Follow local guidelines,Indefinite
Mumbai,2025-07-08,Low,Weather,Mumbai to Bangalore,Monitor local news,Indefinite
Chennai,2025-07-01,Severe,Political unrest,Chennai to Pune,Monitor local news,1 week
Kolkata,2025-01-29,Severe,Infrastructure issues,Mumbai to Bangalore,Follow local guidelines,1 week
Bangalore,2025-03-26,Low,Security concerns,Kolkata to Chennai,Follow local guidelines,Indefinite
Delhi,2024-12-31,Moderate,Weather,Delhi to Pune,Avoid non-essential travel,1 week
Bangalore,2024-11-01,High,Weather,Mumbai to Pune,Avoid non-essential travel,1 day
Hyderabad,2024-12-10,Low,Security concerns,Kolkata to Jaipur,No Info,1 day
Delhi,2025-03-22,Low,Weather,Pune to Jaipur,Avoid non-essential travel,3 days
Jaipur,2025-04-09,High,Infrastructure issues,Chennai to Mumbai,Avoid non-essential travel,1 week
Delhi,2025-01-03,Severe,Political unrest,Kolkata to Pune,Avoid non-essential travel,1 day
